year_id,player_name,team_id,ab,h,hr,rbi,sb,ba,obp,slg
2025,Alejandro Osuna,TEX,151,32,2,15,5,0.212,0.313,0.278
2025,Luisangel Acuña,NYN,175,41,0,8,16,0.234,0.293,0.274
2025,Christian Encarnacion-Strand,CIN,130,27,6,19,0,0.208,0.234,0.377
2025,Davis Schneider,TOR,188,44,11,31,3,0.234,0.361,0.436
2025,Luis Garcia,WAS,488,123,16,66,14,0.252,0.289,0.412
2025,J. P. Crawford,SEA,570,151,12,58,8,0.265,0.352,0.370
2025,Jordan Westburg,BAL,328,87,17,41,1,0.265,0.313,0.457
2025,Joey Bart,PIT,285,71,4,30,1,0.249,0.355,0.340
2025,Lenyn Sosa,CHA,518,137,22,75,2,0.264,0.293,0.434
2025,Jo Adell,LAA,526,124,37,98,5,0.236,0.293,0.485
2025,Nick Castellanos,PHI,547,137,17,72,4,0.250,0.294,0.400
2025,Brendan Rodgers,HOU,115,22,2,11,0,0.191,0.266,0.278
2025,Javier Sanoja,MIA,313,76,6,38,6,0.243,0.287,0.396
2025,Hunter Goodman,COL,540,150,31,91,1,0.278,0.323,0.520
2025,Brayan Rocchio,CLE,344,80,5,44,8,0.233,0.290,0.340
2025,Nathan Lukes,TOR,388,99,12,65,2,0.255,0.323,0.407
2025,Brady House,WAS,261,61,4,29,5,0.234,0.252,0.322
2025,Kyle Tucker,CHN,500,133,22,73,25,0.266,0.377,0.464
2025,Jake Bauers,MIL,183,43,7,28,8,0.235,0.353,0.399
2025,Gavin Lux,CIN,446,120,5,53,1,0.269,0.350,0.374
2025,José Caballero,TBA,235,53,2,27,34,0.226,0.327,0.311
2025,Victor Robles,SEA,106,26,1,9,6,0.245,0.281,0.330
2025,Luis Urias,ATH,287,66,8,25,2,0.230,0.315,0.338
2025,Nico Hoerner,CHN,599,178,7,61,29,0.297,0.345,0.394
2025,Dansby Swanson,CHN,590,144,24,77,20,0.244,0.300,0.417
2025,Andy Ibanez,DET,176,42,4,21,4,0.239,0.301,0.352
2025,Thomas Saggese,SLN,275,71,2,25,3,0.258,0.299,0.342
2025,Adolis Garcia,TEX,507,115,19,75,13,0.227,0.271,0.394
2025,Bryce Harper,PHI,501,131,27,75,12,0.261,0.357,0.487
2025,Kyle Higashioka,TEX,303,73,11,47,3,0.241,0.291,0.403
2025,Miguel Andujar,ATH,218,65,6,27,1,0.298,0.329,0.436
2025,Miguel Andujar,CIN,103,37,4,17,0,0.359,0.400,0.544
2025,Marcell Ozuna,ATL,487,113,21,68,0,0.232,0.355,0.400
2025,Juan Soto,NYN,577,152,43,105,38,0.263,0.396,0.525
2025,Luis Robert,CHA,382,85,14,53,33,0.223,0.297,0.364
2025,Willy Adames,SFN,591,133,30,87,12,0.225,0.318,0.421
2025,Cole Young,SEA,223,47,4,24,1,0.211,0.302,0.305
2025,Mark Canha,KCA,113,24,1,6,0,0.212,0.272,0.265
2025,Manny Machado,SDN,615,169,27,95,14,0.275,0.335,0.460
2025,Graham Pauley,MIA,161,36,4,11,2,0.224,0.311,0.366
2025,Willie MacIver,ATH,102,19,3,9,3,0.186,0.252,0.324
2025,Adrian Del Castillo,ARI,120,29,4,17,0,0.242,0.290,0.392
2025,Vinnie Pasquantino,KCA,621,164,32,113,1,0.264,0.323,0.475
2025,Junior Caminero,TBA,602,159,45,110,7,0.264,0.311,0.535
2025,Bobby Witt,KCA,623,184,23,88,38,0.295,0.351,0.501
2025,Roman Anthony,BOS,257,75,8,32,4,0.292,0.396,0.463
2025,Taylor Trammell,HOU,117,23,3,12,3,0.197,0.296,0.333
2025,Willi Castro,MIN,302,74,10,27,9,0.245,0.335,0.407
2025,Elly De La Cruz,CIN,629,166,22,86,37,0.264,0.336,0.440
2025,Adley Rutschman,BAL,322,71,9,29,0,0.220,0.307,0.366
2025,Willi Castro,CHN,100,17,1,6,1,0.170,0.245,0.240
2025,Myles Straw,TOR,267,70,4,32,12,0.262,0.313,0.367
2025,Pavin Smith,ARI,244,63,8,28,2,0.258,0.362,0.434
2025,Teoscar Hernandez,LAN,511,126,25,89,5,0.247,0.284,0.454
2025,Oneil Cruz,PIT,471,94,20,61,38,0.200,0.298,0.378
2025,Trey Sweeney,DET,296,58,6,32,3,0.196,0.258,0.291
2025,Blake Perkins,MIL,155,35,3,19,7,0.226,0.298,0.348
2025,Jonathan Aranda,TBA,370,117,14,59,0,0.316,0.393,0.489
2025,Romy Gonzalez,BOS,315,96,9,53,6,0.305,0.343,0.483
2025,Edmundo Sosa,PHI,243,67,11,39,1,0.276,0.307,0.469
2025,Sean Murphy,ATL,291,58,16,45,0,0.199,0.300,0.409
2025,Martin Maldonado,SDN,147,30,4,12,0,0.204,0.245,0.327
2025,Paul DeJong,WAS,193,44,6,23,4,0.228,0.269,0.373
2025,Mike Trout,LAA,456,106,26,64,2,0.232,0.359,0.439
2025,Emmanuel Rivera,BAL,120,30,0,13,1,0.250,0.291,0.283
2025,Enrique Hernandez,LAN,232,47,10,35,0,0.203,0.255,0.366
2025,Lane Thomas,CLE,125,20,4,11,4,0.160,0.246,0.272
2025,Orlando Arcia,COL,172,35,3,12,0,0.203,0.242,0.302
2025,Justyn-Henry Malloy,DET,104,23,1,17,0,0.221,0.346,0.308
2025,Kevin Newman,LAA,114,23,2,11,1,0.202,0.209,0.272
2025,Ryan Ritter,COL,187,45,1,18,3,0.241,0.296,0.337
2025,Austin Riley,ATL,416,108,16,54,2,0.260,0.309,0.428
2025,Dane Myers,MIA,307,72,6,31,18,0.235,0.291,0.326
2025,Heriberto Hernandez,MIA,256,68,10,45,1,0.266,0.347,0.438
2025,Jake Mangum,TBA,405,120,3,40,27,0.296,0.330,0.368
2025,Kyren Paris,LAA,126,24,6,11,7,0.190,0.266,0.381
2025,Kyle Manzardo,CLE,470,110,27,70,2,0.234,0.313,0.455
2025,Ke'Bryan Hayes,PIT,369,87,2,36,10,0.236,0.279,0.290
2025,Will Smith,LAN,362,107,17,61,2,0.296,0.404,0.497
2025,Rafael Marchan,PHI,105,22,2,13,0,0.210,0.282,0.305
2025,Ben Rice,NYA,467,119,26,65,3,0.255,0.337,0.499
2025,Isaac Paredes,HOU,378,96,20,53,0,0.254,0.352,0.458
2025,Bryan Reynolds,PIT,587,144,16,73,3,0.245,0.318,0.402
2025,Kyle Isbel,KCA,368,94,4,33,4,0.255,0.301,0.353
2025,Mike Yastrzemski,SFN,321,74,8,28,6,0.231,0.330,0.355
2025,Nolan Arenado,SLN,401,95,12,52,3,0.237,0.289,0.377
2025,Cody Bellinger,NYA,588,160,29,98,13,0.272,0.334,0.480
2025,Gleyber Torres,DET,532,136,16,74,4,0.256,0.358,0.387
2025,Jakob Marsee,MIA,209,61,5,33,14,0.292,0.363,0.478
2025,Brenton Doyle,COL,502,117,15,57,18,0.233,0.274,0.376
2025,Jonathan India,KCA,497,116,9,45,0,0.233,0.323,0.346
2025,Tyler Soderstrom,ATH,561,155,25,93,8,0.276,0.346,0.474
2025,Ke'Bryan Hayes,CIN,158,37,3,13,2,0.234,0.315,0.342
2025,Brandon Marsh,PHI,379,106,11,43,7,0.280,0.342,0.443
2025,Braxton Fulford,COL,108,23,1,16,1,0.213,0.267,0.324
2025,Caleb Durbin,MIL,445,114,11,53,18,0.256,0.334,0.387
2025,Kristian Campbell,BOS,229,51,6,21,2,0.223,0.319,0.345
2025,Wenceel Pérez,DET,344,84,13,43,8,0.244,0.308,0.430
2025,Danny Jansen,TBA,221,45,11,29,0,0.204,0.314,0.389
2025,Andy Pages,LAN,581,158,27,86,14,0.272,0.313,0.461
2025,Gabriel Arias,CLE,432,95,11,54,8,0.220,0.274,0.363
2025,Ketel Marte,ARI,480,136,28,72,4,0.283,0.376,0.517
2025,Jarren Duran,BOS,620,159,16,84,24,0.256,0.332,0.442
2025,Pedro Pagés,SLN,361,83,11,45,0,0.230,0.272,0.363
2025,Noelvi Marte,CIN,339,89,14,51,10,0.263,0.300,0.448
2025,David Fry,CLE,146,25,8,23,1,0.171,0.229,0.363
2025,Otto Kemp,PHI,197,46,8,28,2,0.234,0.298,0.411
2025,Josh Palacios,CHA,128,26,3,9,0,0.203,0.292,0.305
2025,Austin Wells,NYA,401,88,21,71,5,0.219,0.275,0.436
2025,Brandon Nimmo,NYN,587,154,25,92,13,0.262,0.324,0.436
2025,TJ Friedl,CIN,579,151,14,53,12,0.261,0.364,0.378
2025,Christopher Morel,TBA,278,61,11,33,7,0.219,0.289,0.396
2025,Jared Triolo,PIT,331,75,7,24,13,0.227,0.311,0.356
2025,Riley Adams,WAS,263,49,8,24,1,0.186,0.252,0.308
2025,Pete Alonso,NYN,624,170,38,126,1,0.272,0.347,0.524
2025,Sal Frelick,MIL,528,152,12,63,19,0.288,0.351,0.405
2025,Jose Trevino,CIN,282,67,4,22,0,0.238,0.272,0.351
2025,Jhonkensy Noel,CLE,148,24,6,13,0,0.162,0.183,0.297
2025,Ryan Jeffers,MIN,406,108,9,47,1,0.266,0.356,0.397
2025,Ezequiel Duran,TEX,205,46,0,14,11,0.224,0.266,0.293
2025,Hyeseong Kim,LAN,161,45,3,17,13,0.280,0.314,0.385
2025,Randy Arozarena,SEA,613,146,27,76,31,0.238,0.334,0.426
2025,Brendan Donovan,SLN,460,132,10,50,3,0.287,0.353,0.422
2025,Vladimir Guerrero,TOR,589,172,23,84,6,0.292,0.381,0.467
2025,Jackson Holliday,BAL,586,142,17,55,17,0.242,0.314,0.375
2025,Fernando Tatis,SDN,594,159,25,71,32,0.268,0.368,0.446
2025,Alejandro Kirk,TOR,451,127,15,76,1,0.282,0.348,0.421
2025,Heston Kjerstad,BAL,156,30,4,19,1,0.192,0.240,0.327
2025,Samuel Basallo,BAL,109,18,4,15,0,0.165,0.229,0.330
2025,Luis Arraez,SDN,620,181,8,61,11,0.292,0.327,0.392
2025,Tyler Freeman,COL,377,106,2,31,18,0.281,0.354,0.361
2025,Ian Happ,CHN,569,138,23,79,6,0.243,0.342,0.420
2025,Eugenio Suarez,ARI,387,96,36,87,1,0.248,0.320,0.576
2025,Nick Gonzales,PIT,381,99,5,30,0,0.260,0.299,0.362
2025,Lourdes Gurriel,ARI,500,124,19,80,10,0.248,0.295,0.418
2025,Tyler Stephenson,CIN,299,69,13,50,0,0.231,0.316,0.421
2025,Freddie Freeman,LAN,556,164,24,90,6,0.295,0.367,0.502
2025,Casey Schmitt,SFN,312,74,12,40,0,0.237,0.305,0.401
2025,Blaze Alexander,ARI,230,53,7,28,4,0.230,0.323,0.383
2025,Matt Chapman,SFN,454,105,21,61,9,0.231,0.340,0.430
2025,Cody Freeman,TEX,114,26,3,15,1,0.228,0.258,0.342
2025,Luis Torrens,NYN,261,59,5,29,1,0.226,0.284,0.345
2025,Drew Waters,KCA,206,50,1,14,5,0.243,0.288,0.316
2025,Michael Harris,ATL,611,152,20,86,20,0.249,0.268,0.409
2025,Taylor Ward,LAA,579,132,36,103,4,0.228,0.317,0.475
2025,Eugenio Suarez,SEA,201,38,13,31,3,0.189,0.255,0.428
2025,Marcus Semien,TEX,470,108,15,62,11,0.230,0.305,0.364
2025,Gavin Sheets,SDN,492,124,19,71,2,0.252,0.317,0.429
2025,Mike Tauchman,CHA,335,88,9,40,0,0.263,0.356,0.400
2025,Michael Toglia,COL,306,58,11,32,3,0.190,0.258,0.353
2025,Jake Cronenworth,SDN,419,103,11,59,3,0.246,0.367,0.377
2025,Brent Rooker,ATH,626,164,30,89,6,0.262,0.335,0.479
2025,Starling Marte,NYN,293,79,9,34,7,0.270,0.335,0.410
2025,Jasson Domínguez,NYA,381,98,10,47,23,0.257,0.331,0.388
2025,Ryan Mountcastle,BAL,332,83,7,35,3,0.250,0.286,0.367
2025,Angel Martínez,CLE,446,100,11,45,8,0.224,0.269,0.359
2025,Lars Nootbaar,SLN,509,119,13,48,4,0.234,0.325,0.361
2025,Taylor Walls,TBA,282,62,4,38,14,0.220,0.280,0.319
2025,Carlos Narváez,BOS,403,97,15,50,1,0.241,0.306,0.419
2025,Jack Suwinski,PIT,150,22,3,10,7,0.147,0.281,0.253
