player_id,name_first,name_last,first_season,last_season,seasons_played,total_games,total_starts,total_wins,total_losses,total_saves,total_ipouts,total_ip,total_hits_allowed,total_earned_runs,total_hr_allowed,total_walks,total_strikeouts,career_era,career_whip,career_k_per_9,career_bb_per_9,career_k_bb_ratio
aasedo01,Don,Aase,1980,1990,10,369,21,40,40,80,1959,653.0,615,257,50,281,403,3.54,1.37,5.55,3.87,1.43
abbotgl01,Glenn,Abbott,1980,1984,4,87,80,26,29,0,1555,518.3,563,236,64,107,170,4.10,1.29,2.95,1.86,1.59
abbotji01,Jim,Abbott,1989,1999,10,263,254,87,108,0,5022,1674.0,1779,791,154,620,888,4.25,1.43,4.77,3.33,1.43
abbotpa01,Paul,Abbott,1990,2004,11,162,112,43,37,0,2162,720.7,682,394,101,393,496,4.92,1.49,6.19,4.91,1.26
aceveju01,Juan,Acevedo,1995,2003,8,367,34,28,40,53,1710,570.0,597,274,72,226,350,4.33,1.44,5.53,3.57,1.55
ackerji01,Jim,Acker,1983,1992,10,467,32,33,49,30,2713,904.3,918,399,82,329,482,3.97,1.38,4.80,3.27,1.47
adamste01,Terry,Adams,1995,2005,11,574,41,51,62,42,2608,869.3,890,403,63,380,691,4.17,1.46,7.15,3.93,1.82
affelje01,Jeremy,Affeldt,2002,2015,14,774,42,43,46,28,2778,926.0,904,408,76,396,720,3.97,1.40,7.00,3.85,1.82
agostju01,Juan,Agosto,1981,1993,13,543,2,40,33,29,1879,626.3,639,279,30,248,307,4.01,1.42,4.41,3.56,1.24
aguilri01,Rick,Aguilera,1985,2000,16,732,89,86,81,318,3874,1291.3,1233,512,138,351,1030,3.57,1.23,7.18,2.45,2.93
alberma01,Matt,Albers,2006,2019,14,616,24,47,48,7,2277,759.0,751,367,87,314,571,4.35,1.40,6.77,3.72,1.82
alcansa01,Sandy,Alcantara,2017,2025,8,177,169,52,67,0,3226,1075.3,934,436,113,330,931,3.65,1.18,7.79,2.76,2.82
alexado01,Doyle,Alexander,1980,1989,10,300,289,112,98,0,6013,2004.3,2065,858,223,503,1029,3.85,1.28,4.62,2.26,2.05
alexaty01,Tyler,Alexander,2019,2025,7,195,57,22,42,1,1640,546.7,582,281,91,128,445,4.63,1.30,7.33,2.11,3.48
alfonan01,Antonio,Alfonseca,1997,2007,11,592,0,35,37,129,1839,613.0,677,280,55,250,400,4.11,1.51,5.87,3.67,1.60
allenne01,Neil,Allen,1980,1989,10,384,54,52,60,67,2668,889.3,885,387,69,370,546,3.92,1.41,5.53,3.74,1.48
alvarhe01,Henderson,Alvarez,2011,2017,6,95,95,27,35,0,1733,577.7,610,245,56,140,302,3.82,1.30,4.71,2.18,2.16
alvarwi01,Wilson,Alvarez,1989,2005,14,355,263,102,92,4,5243,1747.7,1624,769,190,805,1330,3.96,1.39,6.85,4.15,1.65
anderal02,Allan,Anderson,1986,1991,6,148,128,49,54,0,2456,818.7,901,374,87,211,339,4.11,1.36,3.73,2.32,1.61
anderbr02,Brian,Anderson,1993,2005,13,291,245,82,83,1,4641,1547.0,1743,814,264,337,723,4.74,1.34,4.21,1.96,2.15
anderbr04,Brett,Anderson,2009,2021,13,222,210,67,74,3,3421,1140.3,1217,516,115,304,772,4.07,1.33,6.09,2.40,2.54
anderch01,Chase,Anderson,2014,2024,11,247,201,59,58,4,3322,1107.3,1058,542,182,380,923,4.41,1.30,7.50,3.09,2.43
anderji02,Jimmy,Anderson,1999,2004,6,122,96,25,47,1,1724,574.7,672,346,58,240,241,5.42,1.59,3.77,3.76,1.00
anderla02,Larry,Andersen,1981,1994,14,677,1,40,38,49,2876,958.7,893,326,54,296,739,3.06,1.24,6.94,2.78,2.50
anderty01,Tyler,Anderson,2016,2025,10,231,223,62,72,0,3777,1259.0,1217,601,184,415,1045,4.30,1.30,7.47,2.97,2.52
andrima01,Matt,Andriese,2015,2024,8,221,50,28,38,8,1545,515.0,539,266,78,148,481,4.65,1.33,8.41,2.59,3.25
andujjo01,Joaquin,Andujar,1980,1988,9,270,219,90,81,4,4552,1517.3,1448,607,126,446,772,3.60,1.25,4.58,2.65,1.73
appieke01,Kevin,Appier,1989,2004,16,414,402,169,137,0,7786,2595.3,2425,1078,232,933,1994,3.74,1.29,6.91,3.24,2.14
aquinlu01,Luis,Aquino,1986,1995,9,222,69,31,32,5,2035,678.3,698,277,45,224,318,3.68,1.36,4.22,2.97,1.42
archech01,Chris,Archer,2012,2022,10,243,240,63,89,0,4071,1357.0,1232,592,165,476,1454,3.93,1.26,9.64,3.16,3.05
armasto02,Tony,Armas,1999,2008,10,185,167,53,65,0,2777,925.7,891,478,122,431,680,4.65,1.43,6.61,4.19,1.58
armstja01,Jack,Armstrong,1988,1994,7,152,130,40,65,0,2360,786.7,807,400,102,319,510,4.58,1.43,5.83,3.65,1.60
arrieja01,Jake,Arrieta,2010,2021,12,285,279,115,93,0,4837,1612.3,1450,713,181,571,1433,3.98,1.25,8.00,3.19,2.51
arrojro01,Rolando,Arrojo,1998,2002,5,158,105,40,42,6,2100,700.0,715,354,83,255,512,4.55,1.39,6.58,3.28,2.01
arroybr01,Bronson,Arroyo,2000,2017,16,419,383,148,137,1,7307,2435.7,2507,1158,347,661,1571,4.28,1.30,5.80,2.44,2.38
ashbyan01,Andy,Ashby,1991,2004,14,309,285,98,110,1,5432,1810.7,1857,829,205,540,1173,4.12,1.32,5.83,2.68,2.17
assenpa01,Paul,Assenmacher,1986,1999,14,884,1,61,44,56,2567,855.7,817,336,73,315,807,3.53,1.32,8.49,3.31,2.56
astacpe01,Pedro,Astacio,1992,2006,15,392,343,129,124,0,6590,2196.7,2292,1140,291,726,1664,4.67,1.37,6.82,2.97,2.29
